 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 81.0221 A, 50 Hz, 82.399084 °, 0.000000 °, 100 %
3th, 26.6179 A, 150 Hz, 67.188253 °, -15.210831 °, 32.8526 %
5th, 15.5104 A, 250 Hz, 51.949792 °, -30.449292 °, 19.1435 %
7th, 10.5982 A, 350 Hz, 36.663066 °, -45.736017 °, 13.0806 %
9th, 7.7622 A, 450 Hz, 21.303727 °, -61.095356 °, 9.5804 %
11th, 5.8818 A, 550 Hz, 5.841328 °, -76.557756 °, 7.2595 %
13th, 4.5275 A, 650 Hz, -9.764294 °, -92.163377 °, 5.588 %
15th, 3.5002 A, 750 Hz, -25.568874 °, -107.967957 °, 4.3201 %
17th, 2.7951 A, 900 Hz, 45.017292 °, -37.381792 °, 3.4498 %
19th, 2.5725 A, 1000 Hz, 29.787551 °, -52.611533 °, 3.1751 %
21st, 2.3441 A, 1100 Hz, 14.469799 °, -67.929285 °, 2.8932 %
23th, 2.1139 A, 1200 Hz, -0.954002 °, -83.353086 °, 2.6091 %
25th, 1.8856 A, 1300 Hz, -16.506060 °, -98.905144 °, 2.3273 %
27th, 1.6628 A, 1400 Hz, -32.214170 °, -114.613253 °, 2.0523 %
29th, 1.4486 A, 1500 Hz, -48.113689 °, -130.512772 °, 1.788 %
30th, 1.2459 A, 1600 Hz, -64.250349 °, -146.649432 °, 1.5377 %
