 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 20.1187 A, 50 Hz, 52.641834 °, 0.000000 °, 100 %
3th, 7.4478 A, 150 Hz, 164.254577 °, 111.612742 °, 37.0192 %
5th, 3.4043 A, 250 Hz, 8.049535 °, -44.592299 °, 16.9209 %
7th, 1.8272 A, 350 Hz, 178.641060 °, 125.999226 °, 9.0822 %
9th, 2.0222 A, 450 Hz, 10.448262 °, -42.193573 °, 10.0515 %
11th, 1.5267 A, 550 Hz, -170.776695 °, -223.418530 °, 7.5885 %
13th, 1.225 A, 650 Hz, -3.268017 °, -55.909852 °, 6.0887 %
15th, 0.95181 A, 750 Hz, -165.194658 °, -217.836492 °, 4.731 %
17th, 0.91408 A, 850 Hz, 11.868738 °, -40.773096 °, 4.5434 %
19th, 0.8668 A, 950 Hz, -174.243521 °, -226.885355 °, 4.3084 %
21st, 0.64427 A, 1050 Hz, 11.678919 °, -40.962916 °, 3.2023 %
23th, 0.59219 A, 1150 Hz, -167.672604 °, -220.314438 °, 2.9435 %
25th, 0.57204 A, 1250 Hz, 14.493055 °, -38.148779 °, 2.8433 %
27th, 0.48371 A, 1350 Hz, -165.946520 °, -218.588354 °, 2.4043 %
29th, 0.42487 A, 1450 Hz, 12.557985 °, -40.083849 °, 2.1118 %
30th, 0.37677 A, 1550 Hz, -162.092186 °, -214.734020 °, 1.8727 %
