 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 163.1265 A, 50 Hz, 177.669530 °, 0.000000 °, 100 %
3th, 27.8837 A, 150 Hz, 66.651950 °, -111.017581 °, 17.0933 %
5th, 26.3507 A, 250 Hz, 145.059358 °, -32.610173 °, 16.1535 %
7th, 16.3602 A, 350 Hz, 41.264183 °, -136.405347 °, 10.0291 %
9th, 7.1884 A, 450 Hz, 148.223915 °, -29.445615 °, 4.4066 %
11th, 7.0564 A, 550 Hz, 12.287873 °, -165.381657 °, 4.3257 %
13th, 5.2553 A, 650 Hz, -178.947604 °, -356.617135 °, 3.2216 %
15th, 3.7132 A, 750 Hz, 32.668780 °, -145.000750 °, 2.2763 %
17th, 3.2348 A, 900 Hz, 10.716276 °, -166.953254 °, 1.983 %
19th, 2.9863 A, 1000 Hz, -166.101321 °, -343.770852 °, 1.8307 %
21st, 2.8052 A, 1100 Hz, 12.214770 °, -165.454760 °, 1.7196 %
23th, 2.47 A, 1200 Hz, -164.107275 °, -341.776805 °, 1.5142 %
25th, 2.3323 A, 1300 Hz, 14.684071 °, -162.985459 °, 1.4297 %
27th, 1.9888 A, 1400 Hz, -163.218092 °, -340.887623 °, 1.2192 %
29th, 1.841 A, 1500 Hz, 17.974672 °, -159.694858 °, 1.1285 %
30th, 1.5483 A, 1600 Hz, -162.862621 °, -340.532151 °, 0.94915 %
