 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 39.5526 A, 50 Hz, 165.996121 °, 0.000000 °, 100 %
3th, 24.7882 A, 150 Hz, 133.213309 °, -32.782812 °, 62.6716 %
5th, 16.6748 A, 250 Hz, 123.646378 °, -42.349743 °, 42.1586 %
7th, 9.7848 A, 350 Hz, 100.241270 °, -65.754851 °, 24.7387 %
9th, 3.5894 A, 450 Hz, 83.289820 °, -82.706301 °, 9.075 %
11th, 0.4766 A, 548 Hz, 80.632556 °, -85.363565 °, 1.205 %
13th, 1.3753 A, 650 Hz, -173.925524 °, -339.921645 °, 3.4772 %
15th, 1.4059 A, 750 Hz, 134.293821 °, -31.702300 °, 3.5544 %
17th, 1.2731 A, 850 Hz, 86.195781 °, -79.800340 °, 3.2188 %
19th, 0.92482 A, 950 Hz, 42.753745 °, -123.242376 °, 2.3382 %
21st, 0.38343 A, 1048 Hz, -177.966430 °, -343.962551 °, 0.96943 %
23th, 1.0065 A, 1150 Hz, 154.775824 °, -11.220297 °, 2.5446 %
25th, 1.5794 A, 1250 Hz, 137.487959 °, -28.508162 °, 3.9931 %
27th, 1.6159 A, 1350 Hz, 119.762184 °, -46.233937 °, 4.0853 %
29th, 0.95095 A, 1450 Hz, 111.645042 °, -54.351079 °, 2.4043 %
30th, 0.81275 A, 1650 Hz, -133.371087 °, -299.367208 °, 2.0549 %
