 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 100.9398 A, 50 Hz, -178.517359 °, 0.000000 °, 100 %
3th, 20.0348 A, 150 Hz, 51.103722 °, 229.621081 °, 19.8482 %
5th, 22.4647 A, 250 Hz, 155.568344 °, 334.085702 °, 22.2555 %
7th, 16.9166 A, 350 Hz, 51.905626 °, 230.422984 °, 16.7591 %
9th, 4.8071 A, 450 Hz, 163.664214 °, 342.181572 °, 4.7624 %
11th, 7.226 A, 550 Hz, 39.980916 °, 218.498275 °, 7.1587 %
13th, 4.8046 A, 650 Hz, -161.380465 °, 17.136894 °, 4.7598 %
15th, 4.4329 A, 750 Hz, 74.533658 °, 253.051016 °, 4.3917 %
17th, 2.2052 A, 850 Hz, -176.780555 °, 1.736803 °, 2.1847 %
19th, 2.6752 A, 950 Hz, 65.278720 °, 243.796079 °, 2.6503 %
21st, 1.9141 A, 1050 Hz, -136.538211 °, 41.979147 °, 1.8962 %
23th, 1.4371 A, 1150 Hz, 124.138784 °, 302.656143 °, 1.4237 %
25th, 1.487 A, 1250 Hz, 179.798406 °, 358.315765 °, 1.4732 %
27th, 1.5999 A, 1350 Hz, 102.047372 °, 280.564730 °, 1.585 %
29th, 0.91757 A, 1502 Hz, -97.520524 °, 80.996834 °, 0.90903 %
30th, 0.75839 A, 1602 Hz, 86.049436 °, 264.566795 °, 0.75133 %
