 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 20.057 A, 50 Hz, 176.116457 °, 0.000000 °, 100 %
3th, 17.9207 A, 150 Hz, 141.054126 °, -35.062331 °, 89.3486 %
5th, 14.269 A, 250 Hz, 114.690759 °, -61.425698 °, 71.1423 %
7th, 9.6771 A, 350 Hz, 89.485392 °, -86.631064 °, 48.2478 %
9th, 5.2451 A, 450 Hz, 67.913050 °, -108.203407 °, 26.1512 %
11th, 1.712 A, 550 Hz, 73.301734 °, -102.814723 °, 8.5358 %
13th, 1.5534 A, 650 Hz, 137.086843 °, -39.029614 °, 7.7447 %
15th, 2.3481 A, 750 Hz, 130.054067 °, -46.062390 °, 11.7073 %
17th, 1.8916 A, 850 Hz, 111.244077 °, -64.872380 °, 9.4313 %
19th, 0.82828 A, 950 Hz, 101.711975 °, -74.404482 °, 4.1296 %
21st, 0.61858 A, 1050 Hz, -167.677395 °, -343.793852 °, 3.0841 %
23th, 1.3111 A, 1150 Hz, -179.685343 °, -355.801800 °, 6.537 %
25th, 1.3984 A, 1250 Hz, 158.527767 °, -17.588690 °, 6.9723 %
27th, 1.1638 A, 1350 Hz, 126.959927 °, -49.156530 °, 5.8026 %
29th, 0.55367 A, 1450 Hz, 99.730605 °, -76.385852 °, 2.7605 %
30th, 0.60403 A, 1650 Hz, -111.615480 °, -287.731937 °, 3.0115 %
