 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 11.2086 A, 84 Hz, 16.906627 °, 0.000000 °, 100 %
3th, 5.6437 A, 250 Hz, 14.038234 °, -2.868393 °, 100 %
5th, 3.9643 A, 350 Hz, -9.041700 °, -25.948327 °, 100 %
7th, 2.9822 A, 450 Hz, -44.362876 °, -61.269503 °, 100 %
9th, 2.6134 A, 550 Hz, -67.200986 °, -84.107613 °, 100 %
11th, 1.8335 A, 650 Hz, -92.264749 °, -109.171376 °, 100 %
13th, 1.4171 A, 750 Hz, -128.583708 °, -145.490335 °, 100 %
15th, 1.4298 A, 850 Hz, -149.960805 °, -166.867432 °, 100 %
17th, 0.96548 A, 984 Hz, 133.507399 °, 116.600772 °, 100 %
19th, 0.78219 A, 1084 Hz, 108.706097 °, 91.799470 °, 100 %
21st, 0.57082 A, 1184 Hz, 74.441580 °, 57.534953 °, 100 %
23th, 0.59058 A, 1284 Hz, 39.389697 °, 22.483070 °, 100 %
25th, 0.51177 A, 1384 Hz, 17.525607 °, 0.618980 °, 100 %
27th, 0.42212 A, 1484 Hz, -19.045041 °, -35.951668 °, 100 %
29th, 0.43873 A, 1584 Hz, -50.403651 °, -67.310278 °, 100 %
30th, 0.35244 A, 1684 Hz, -68.403303 °, -85.309930 °, 100 %
