 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 72.5878 A, 50 Hz, -51.435293 °, 0.000000 °, 100 %
3th, 26.1484 A, 150 Hz, 117.395564 °, 168.830857 °, 36.0231 %
5th, , , , , 
7th, , , , , 
9th, , , , , 
11th, , , , , 
13th, 2.2575 A, 650 Hz, -115.393189 °, -63.957896 °, 3.1101 %
15th, , , , , 
17th, , , , , 
19th, , , , , 
21st, , , , , 
23th, 1.5356 A, 1150 Hz, 159.860771 °, 211.296064 °, 2.1155 %
25th, , , , , 
27th, , , , , 
29th, , , , , 
30th, 0.55444 A, 1552 Hz, 164.358157 °, 215.793450 °, 0.76382 %
